Wall time,Step,Value
1538615973.110471,1,9.999999747378752e-05
1538616058.6790123,2,9.999999747378752e-05
1538616142.509062,3,9.999999747378752e-05
1538616226.1464787,4,9.999999747378752e-05
1538616309.8843677,5,9.999999747378752e-05
1538616394.0121706,6,9.999999747378752e-05
1538616477.8208876,7,9.999999747378752e-05
1538616561.7427373,8,9.999999747378752e-05
1538616644.7252388,9,9.999999747378752e-05
1538616728.945347,10,9.999999747378752e-05
1538616812.4146752,11,9.999999747378752e-05
1538616895.9025912,12,9.999999747378752e-05
1538616980.7660453,13,9.999999747378752e-05
1538617064.1107752,14,9.999999747378752e-05
1538617147.4687228,15,9.999999747378752e-05
1538617231.138152,16,9.999999747378752e-05
1538617314.7773323,17,9.999999747378752e-05
1538617397.973971,18,9.999999747378752e-05
1538617481.6879778,19,9.999999747378752e-05
